SLUG,FINANCE_ID,LOCATION_ID,LOCATION_NAME,BUSINESS_SEGMENT_BY_HIERARCHY_ACTIVE,BUSINESS_SEGMENT_BY_HIERARCHY_TOTAL,CORE_INDUSTRY,CORE_SUB_INDUSTRY,SPECIALTY,IS_PARENT_ACCOUNT,IS_SATELLITE,LOCATION_TYPE,BILLING_START_DATE,STARTING_MRR,LIFETIME_VALUE,FIRST_MRR_MONTH,PRACTICE_MANAGEMENT_SOFTWARE,INTEGRATIONS,ONBOARDING_HANDOFF_DATE,STARTING_BUNDLE,END_BUNDLE,CHURN_OR_RETAIN,CHURN_MONTH,LIFETIME_MONTHS,WEEK_1_CASES,WEEK_2_CASES,WEEK_3_CASES,WEEK_4_CASES,WEEK_5_CASES,WEEK_6_CASES,WEEK_7_CASES,WEEK_8_CASES,WEEK_9_CASES,WEEK_10_CASES,WEEK_11_CASES,WEEK_12_CASES,REASON_BILLING,REASON_PHONE_SYSTEM,REASON_DATA_SYNC,FIRST_USAGE_REPORT_MONTH,FIRST_INBOUND_SMS_COUNT,FIRST_OUTBOUND_SMS_COUNT,FIRST_INBOUND_CALL_COUNT,FIRST_OUTBOUND_CALL_COUNT,FIRST_MISSED_CALL_SMS_COUNT,FIRST_MISSED_TEXT_SMS_COUNT,FIRST_AUTOMATED_SMS_COUNT,FIRST_APPOINTMENT_REMINDERS_ACCESS,FIRST_MISSED_CALL_TEXT,FIRST_MISSED_TEXT_TEXT,SWAT_CASE_ID,SWAT_CASE_STATUS,SWAT_CASE_CREATED_DATE,SWAT_CANCEL_SUMMARY,SWAT_CANCELLATION_REASON,SWAT_CANCELLATION_SUBREASON
s00645980,645980.0,6821a30e-1444-413a-95a2-f6a9712f9d61,"Lindsay B Friedman MD, DDS, PLLC",Single,Single,Dental,Dental,Dental,False,False,single,2024-09-13,587.81,8286.27980,2024-09-30,Eaglesoft 18,Eaglesoft 18,2024-09-19,WeavePlus - Elite,WeavePlus - Elite,Retain,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-09-01,147.0,445.0,368.0,255.0,0.0,0.0,360.0,True,True,True,,,,,,
s00089897,89897.0,90424f6f-ee73-4e54-bba9-95093e4fbf54,Laingsburg Animal Hospital,Multi,Multi,Veterinary,Veterinary,Vet Hospital,False,False,databeta-child,2024-08-30,353.69,4638.27000,2024-08-31,avimark,avimark,,WeavePlus - Pro,WeavePlus - Pro,Retain,,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2023-06-01,7.0,31.0,1025.0,319.0,25.0,0.0,25.0,True,True,False,,,,,,
s00510778,510778.0,6ba60248-cad8-418d-9af6-6ebefb2bc7c7,Petzoic Vet Hospital,Multi,Multi,Veterinary,Veterinary,Vet Clinic,False,False,single,2024-04-23,597.74,9300.44950,2024-04-30,cornerstone,cornerstone,2024-06-06,WeavePlus - Pro,WeavePlus - Pro,Retain,,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,2024-04-01,23.0,54.0,172.0,142.0,2.0,5.0,17.0,True,True,True,,,,,,
s00320279,320279.0,3b49d6ff-2260-47f3-8687-4fa36d42f25c,"Focal Point Dentistry Susan Thomas, DDS",Single,Single,Dental,Dental,Dental,False,False,single,2024-09-30,580.81,8188.27980,2024-09-30,dentrixg5,dentrixg5,2024-10-21,WeavePlus - Elite,WeavePlus - Elite,Retain,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-10-01,544.0,1868.0,440.0,205.0,2.0,0.0,1268.0,True,True,True,,,,,,
s00438417,438417.0,635635d8-b217-4196-b7a0-698adb616c7a,South Shore Animal Hospital,Single,Single,Veterinary,Veterinary,Vet Clinic,False,False,single,2024-08-22,495.47,7489.05000,2024-08-31,shepherd,shepherd,2024-08-22,WeavePlus - Pro,WeavePlus - Pro,Retain,,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-01,2.0,3.0,320.0,137.0,0.0,0.0,0.0,True,True,True,,,,,,
s00551108,551108.0,8f3984f9-7fe5-42e6-8c78-8ef2315b9e92,Concho Valley Medicine,Single,Single,Medical,Med-Rehab,Primary Care,False,False,single,2024-03-08,516.97,10484.75000,2024-03-31,drchrono,drchrono,2024-03-12,WeavePlus - Elite,WeavePlus - Elite,Retain,,20.0,2.0,4.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-03-01,1028.0,1662.0,732.0,154.0,308.0,6.0,861.0,True,True,True,,,,,,
s00520081,520081.0,b65052ec-3193-4a19-9ca7-b8bbdf7d5f59,Shannon Chris DDS,Single,Single,Dental,Dental,Dental,False,False,single,2024-01-19,756.82,16821.04000,2024-01-31,Eaglesoft 18,Eaglesoft 18,2024-02-06,WeavePlus - Elite,WeavePlus - Elite,Retain,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-01-01,215.0,352.0,92.0,14.0,17.0,0.0,248.0,True,True,True,,,,,,
s00012430,12430.0,beaac015-320f-4334-a819-421121e2609d,Conley Family Dentistry,Single,Single,Dental,Dental,Dental,False,False,single,2016-05-04,843.47,12882.96000,2024-05-31,opendental,opendental,2024-06-19,WeavePlus - Elite,WeavePlus - Elite,Retain,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,,,,,,
s00070518,70518.0,3f764e64-afea-49f9-aa46-96efbbe15c4e,Cynthia M. Poulos MD LLC,Single,Single,Medical,Med-Cosmetic,Plastic Surgery,False,False,single,2024-08-13,481.83,7227.45000,2024-08-31,nextech,nextech,2024-08-20,WeavePlus - Pro,WeavePlus - Pro,Retain,,15.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-08-01,118.0,217.0,148.0,20.0,34.0,26.0,142.0,True,True,True,,,,,,
s00236939,236939.0,3312270f-e1fd-414a-bc30-20b2b6347776,Dental Arts of Broward,Single,Single,Dental,Dental,Other,False,False,single,2024-06-11,756.82,7710.09000,2024-06-30,Eaglesoft 18,Eaglesoft 18,2024-08-07,WeavePlus - Elite,WeavePlus - Elite,Retain,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,2024-06-01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,True,True,True,,,,,,
