SLUG,FINANCE_ID,LOCATION_ID,LOCATION_NAME,BUSINESS_SEGMENT_BY_HIERARCHY_ACTIVE,BUSINESS_SEGMENT_BY_HIERARCHY_TOTAL,CORE_INDUSTRY,CORE_SUB_INDUSTRY,SPECIALTY,IS_PARENT_ACCOUNT,IS_SATELLITE,LOCATION_TYPE,BILLING_START_DATE,STARTING_MRR,LIFETIME_VALUE,FIRST_MRR_MONTH,PRACTICE_MANAGEMENT_SOFTWARE,INTEGRATIONS,ONBOARDING_HANDOFF_DATE,STARTING_BUNDLE,END_BUNDLE,CHURN_OR_RETAIN,CHURN_MONTH,LIFETIME_MONTHS,WEEK_1_CASES,WEEK_2_CASES,WEEK_3_CASES,WEEK_4_CASES,WEEK_5_CASES,WEEK_6_CASES,WEEK_7_CASES,WEEK_8_CASES,WEEK_9_CASES,WEEK_10_CASES,WEEK_11_CASES,WEEK_12_CASES,REASON_BILLING,REASON_PHONE_SYSTEM,REASON_DATA_SYNC,FIRST_USAGE_REPORT_MONTH,FIRST_INBOUND_SMS_COUNT,FIRST_OUTBOUND_SMS_COUNT,FIRST_INBOUND_CALL_COUNT,FIRST_OUTBOUND_CALL_COUNT,FIRST_MISSED_CALL_SMS_COUNT,FIRST_MISSED_TEXT_SMS_COUNT,FIRST_AUTOMATED_SMS_COUNT,FIRST_APPOINTMENT_REMINDERS_ACCESS,FIRST_MISSED_CALL_TEXT,FIRST_MISSED_TEXT_TEXT,SWAT_CASE_ID,SWAT_CASE_STATUS,SWAT_CASE_CREATED_DATE,SWAT_CANCEL_SUMMARY,SWAT_CANCELLATION_REASON,SWAT_CANCELLATION_SUBREASON,reason_segment
s00476525,476525.0,8785ceef-0cad-42e5-8aa3-38f9d879302b,Beyond Eyecare,Single,Single,Optometry,Optometry,Optometry,False,False,,2024-03-01,395.97,791.94000,2024-03-31,Crystal PM,Crystal PM,2024-03-01,WeavePlus Software Only - Pro,WeavePlus Software Only - Pro,Churn,2024-05-31,2.0,5.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2024-03-01,30.0,198.0,0.0,0.0,0.0,0.0,188.0,True,False,False,500Ps000009IkC9IAK,Closed Cancelled,2024-04-02,This office started with us at the very end of February only because the AE promised we would have Instant Booking with Crystal and our Online Scheduling available starting in March. That's not even on the roadmap and that's the biggest reason they switched to us. They are moving to ReviewWave for that feature as well as more customizations within their auto reminders and the Save the Date feature is not available with Crystal. They really need these automations to help save their staff time.,Service,Sales,2
s00620900,620900.0,4b01feba-05e9-4830-9106-099d3d3f9146,Dental Health of Rockland,Single,Single,Dental,Dental,Dental,False,False,,2024-09-17,826.82,3670.70000,2024-09-30,opendental,opendental,2024-09-23,WeavePlus - Elite,WeavePlus - Elite,Churn,2025-02-28,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-09-01,35.0,277.0,1366.0,1175.0,0.0,0.0,265.0,True,True,True,500Ps00000PG3Q9IAL,Closed Cancelled,2024-12-09,Office was considering moving to Adit due to pricing. They wanted to get the price down to make it worthwhile staying.,Pricing,Lower Price,2
s00668846,668846.0,a29adab1-ddc9-488d-85b6-28067006a3b3,Howell Avenue Pet Hospital,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,,,889.82,3559.28000,2025-04-30,intravet,intravet,2025-05-13,WeavePlus - Elite,WeavePlus - Elite,Churn,2025-08-31,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2025-04-01,4.0,0.0,1463.0,771.0,0.0,0.0,0.0,True,True,True,500Ps00000nmUAvIAM,Closed Cancelled,2025-07-08,"Office had a very poor onboarding experience. They were not fully set up but were then passed off out of onboarding. They emailed the onboarder several times explaining that nothing was working and he just wouldn’t get back to them or would say he was investigating and never getting back to them. They have several technical issues going on that are still not fixed to this day. She said many people on Veterinary Internet have said they had the same experience with Weave and she may make an FCC report due to her experience. 

I offered for Dillan and Becca to fix the account up but she said I am the first person to want to help her and at this point she is just over it and wanting to move on.",Customer Experience,Onboarding,3
s00410809,410809.0,073d65b6-9bc0-44dc-83b5-1465197c3335,Brian S McKeown DDS PLC,Single,Single,Dental,Dental,Dental,False,False,,2025-05-12,645.92,2583.68000,2025-05-31,dentrixg5,dentrixg5,2025-06-25,WeavePlus Software Only - Elite,WeavePlus Software Only - Elite,Churn,2025-09-30,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,,,,2025-05-01,82.0,408.0,11.0,0.0,0.0,0.0,373.0,True,False,False,500Ps00000rS09qIAC,Closed Cancelled,2025-08-08,"Office ran into technical issues with appointment confirmation writebacks with Dentrix, as a result, they decided to cancel their service since a resolution was not put into place efficiently enough.",Product Issues,Product Functionality Issues,2
s00663128,663128.0,e03dc7b2-40cc-4fc1-a308-11570e061359,Annandale - Dulles Eye Associates,Multi,Multi,Optometry,Optometry,Optometry,False,False,,,207.32,1036.60000,2024-12-31,eyefinityV2,eyefinityV2,2025-04-18,WeavePlus Software Only - Pro,WeavePlus Software Only - Pro,Churn,2025-05-31,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-12-01,312.0,2996.0,192.0,0.0,0.0,0.0,2965.0,True,False,False,500Ps00000f6ZMtIAM,Closed Cancelled,2025-04-22,"Spoke with Erum and Fahima regarding cancellation. Customer did not want to provide who they are transferring to for software. Confirmed they have had issues with appointments and appointment reminders not going out correctly. I offered to have the issues looked into but customer did not want to proceed and only wanted to cancel. Customer wanted account cancelled effective the first of May. Confirmed will be able to accommodate request. 
Confirmed customer did not want texting number at either location. No equipment to return. sent email with forecasted cancellation date.",Customer Experience,Support,3
s00252230,252230.0,3f766172-2153-42dd-9e0b-081428fde7ac,DANVILLE ORAL & MAXILLOFACIAL SURGERY,Single,Single,Dental,Dental,Oral Surgery,False,False,,,406.82,406.82000,2025-08-31,WinOMS,WinOMS,,WeavePlus Software Only - Pro,WeavePlus Software Only - Pro,Churn,2025-09-30,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2025-08-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,False,500Ps00000tFtKfIAK,Closed Cancelled,2025-08-26,"Office unable to complete their DSA sync with Carestream due to an issue receiving the terms and conditions. Office escalated very quickly due to the delays and within a short amount of time, was demanding to cancel. Our technical teams were able to resolve the issue, but by the time they were able to resolve, office's mind was made up and would not consider moving forward. Shared contract information, still required to cancel.",,,2
s00228254,228254.0,676b6d4e-799f-4aa4-893e-47bc51d1b1c0,"DR. RICHARD J. HALEY, DDS",Single,Single,Dental,Dental,Dental,False,False,,2024-04-16,516.97,2584.85000,2024-04-30,opendental,opendental,2024-07-02,WeavePlus Software Only - Elite,WeavePlus Software Only - Elite,Churn,2024-09-30,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-04-01,12.0,45.0,0.0,0.0,0.0,0.0,40.0,True,False,False,500Ps00000GiXNNIA3,Closed Cancelled,2024-08-23,Office prefers using Open Dental more than Weave because they find it easier to use.,Desired Features/Functionality,Desired Features,2
s00130507,130507.0,bfa387f7-95a4-4180-a5c2-df7f6e6069cb,Mint Family Dental,Single,Single,Dental,Dental,,False,False,,2025-04-07,1006.88,1006.88000,2025-04-30,opendental,opendental,,WeavePlus - Ultimate,WeavePlus - Ultimate,Churn,2025-05-31,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-04-01,3.0,11.0,235.0,193.0,2.0,0.0,2.0,True,True,True,500Ps00000flmw4IAA,Closed Cancelled,2025-04-29,"Customers phones cannot pick up calls regularly.  We have spent countless hours troubleshooting with their IT, and after various network configurations it is not working.  The customer is cancelling as their practice is not functioning this way, and we do not have a number of features they need to run their practice.",,,3
s00663914,663914.0,8a3f7172-197d-4053-b93b-4fab3c76834f,La Peau D'or Beauty Wellness Spa,Single,Single,Medical,Med-Cosmetic,Salon,False,False,,,402.91,2447.55810,2024-12-31,booker,booker,2025-01-14,WeavePlus - Elite,WeavePlus - Elite,Churn,2025-06-30,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-12-01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,500Ps00000hJeCHIA0,Closed Cancelled,2025-05-14,"Spoke with Vanessa- She stated they have been with Weave for 5 months and are not getting the value they want out of the software. She stated they have had some issues with syncing the appointments Back to their EMR- Mind Body. They also they were frustrated by the text blast and email limits. She also stated the email marketing campaigns are limited and could be more robust. She also felt a bit miss lead on payments. She was advised it would work in Canada, but payments only currently work in the US.  I advised of the confidentially regarding offer negotiations. Confirmed with the customer we could provide them a slight discount to lower rate of 525 a month US or phones only starting at $169. She said she will discuss this with the doctor but she said will more than likely move on as they will be using a local provider for phone service at $39 CAD and Booker for their software.",Value,Low Adoption/ROI,3
s00623303,623303.0,cf0859ca-740a-4862-ad4f-a55b3d13aefb,Cypress Bend Dental,Single,Single,Dental,Dental,Dental,False,False,,2025-06-11,457.07,1371.21000,2025-06-30,opendental,opendental,2025-06-11,WeavePlus Software Only - Elite,WeavePlus Software Only - Elite,Churn,2025-09-30,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,2025-06-01,574.0,1562.0,26.0,0.0,0.0,0.0,948.0,True,False,False,500Ps00000tHtN4IAK,Closed Cancelled,2025-08-26,"The office is canceling because the forms writebacks weren't working. They called support several times and didn't get it resolved. 
I offered technical help and training but she wasnt interested.",Desired Features,Desired Features,2
