Slug,Finance Id,Location Id,Location Name,BUSINESS_SEGMENT_BY_HIERARCHY_ACTIVE,BUSINESS_SEGMENT_BY_HIERARCHY_TOTAL,Core Industry,CORE_SUB_INDUSTRY,SPECIALTY,IS_PARENT_ACCOUNT,IS_SATELLITE,LOCATION_TYPE,BILLING_START_DATE,Starting Mrr,Lifetime Value,FIRST_MRR_MONTH,Practice Management Software,Integrations,ONBOARDING_HANDOFF_DATE,Starting Bundle,End Bundle,Churn or Retain,Churn Month,lifetime in Month,Week 1 Cases,Week 2 Cases,Week 3 Cases,Week 4 Cases,Week 5 Cases,Week 6 Cases,Week 7 Cases,Week 8 Cases,Week 9 Cases,Week 10 Cases,Week 11 Cases,Week 12 Cases,Reason Billing,Reason Phone System,Reason Data Sync,First Usage Report Month,Inbound Sms Count,Outbound Sms Count,Inbound Call Count,Outbound Call Count,FIRST_MISSED_CALL_SMS_COUNT,Manual Messages Sms Count,Automated Sms Sent Count,FIRST_APPOINTMENT_REMINDERS_ACCESS,FIRST_MISSED_CALL_TEXT,FIRST_MISSED_TEXT_TEXT,Inbound Sms Count Activated,Outbound Sms Count Activated,Automated Sms Sent Count Activated,Manual Messages Sms Count Activated,Inbound Call Count Activated,Outbound Call Count Activated,BundleType,First Month SWAT Cases,PMS_Group,Reason Billing Flag,Reason Phone System Flag,Reason Data Sync Flag,split,y_true,y_proba,y_pred,threshold_used,p_churn,business_risk_index,rank_by_p,rank_by_bri
s00645980,645980.0,6821a30e-1444-413a-95a2-f6a9712f9d61,"Lindsay B Friedman MD, DDS, PLLC",Single,Single,Dental,Dental,Dental,False,False,single,2024-09-13,587.81,8286.2798,2024-09-30,Eaglesoft 18,Eaglesoft 18,2024-09-19,WeavePlus - Elite,WeavePlus - Elite,Retain,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-09-01,147.0,445.0,368.0,255.0,0.0,0.0,360.0,True,True,True,1,1,1,0,1,1,plus bundle,0.0,EOD pms,0,0,0,all,0,0.08928571428571429,0,0.3333333333333333,0.08928571428571429,0.0385679966517857,3050,3066
s00320279,320279.0,3b49d6ff-2260-47f3-8687-4fa36d42f25c,"Focal Point Dentistry Susan Thomas, DDS",Single,Single,Dental,Dental,Dental,False,False,single,2024-09-30,580.81,8188.2798,2024-09-30,dentrixg5,dentrixg5,2024-10-21,WeavePlus - Elite,WeavePlus - Elite,Retain,,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-10-01,544.0,1868.0,440.0,205.0,2.0,0.0,1268.0,True,True,True,1,1,1,0,1,1,plus bundle,0.0,EOD pms,0,0,0,all,0,0.08928571428571429,0,0.3333333333333333,0.08928571428571429,0.0385679966517857,3051,3067
s00438417,438417.0,635635d8-b217-4196-b7a0-698adb616c7a,South Shore Animal Hospital,Single,Single,Veterinary,Veterinary,Vet Clinic,False,False,single,2024-08-22,495.47,7489.05,2024-08-31,shepherd,shepherd,2024-08-22,WeavePlus - Pro,WeavePlus - Pro,Retain,,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-08-01,2.0,3.0,320.0,137.0,0.0,0.0,0.0,True,True,True,0,0,0,0,1,1,plus bundle,1.0,Others,0,0,0,all,0,0.16666666666666666,0,0.3333333333333333,0.16666666666666666,0.08374999999999999,1180,1532
s00551108,551108.0,8f3984f9-7fe5-42e6-8c78-8ef2315b9e92,Concho Valley Medicine,Single,Single,Medical,Med-Rehab,Primary Care,False,False,single,2024-03-08,516.97,10484.75,2024-03-31,drchrono,drchrono,2024-03-12,WeavePlus - Elite,WeavePlus - Elite,Retain,,20.0,2.0,4.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-03-01,1028.0,1662.0,732.0,154.0,308.0,6.0,861.0,True,True,True,1,1,1,0,1,1,plus bundle,8.0,Others,0,0,1,all,0,0.08928571428571429,0,0.3333333333333333,0.08928571428571429,0.033537388392857144,3052,3518
s00520081,520081.0,b65052ec-3193-4a19-9ca7-b8bbdf7d5f59,Shannon Chris DDS,Single,Single,Dental,Dental,Dental,False,False,single,2024-01-19,756.82,16821.04,2024-01-31,Eaglesoft 18,Eaglesoft 18,2024-02-06,WeavePlus - Elite,WeavePlus - Elite,Retain,,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-01-01,215.0,352.0,92.0,14.0,17.0,0.0,248.0,True,True,True,1,1,1,0,1,1,plus bundle,0.0,EOD pms,0,0,0,all,0,0.08928571428571429,0,0.3333333333333333,0.08928571428571429,0.0385679966517857,3053,3068
s00012430,12430.0,beaac015-320f-4334-a819-421121e2609d,Conley Family Dentistry,Single,Single,Dental,Dental,Dental,False,False,single,2016-05-04,843.47,12882.96,2024-05-31,opendental,opendental,2024-06-19,WeavePlus - Elite,WeavePlus - Elite,Retain,,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,True,0,0,0,0,0,0,plus bundle,0.0,EOD pms,0,0,0,all,0,0.3442622950819672,1,0.3333333333333333,0.3442622950819672,0.39590163934426226,243,258
s00070518,70518.0,3f764e64-afea-49f9-aa46-96efbbe15c4e,Cynthia M. Poulos MD LLC,Single,Single,Medical,Med-Cosmetic,Plastic Surgery,False,False,single,2024-08-13,481.83,7227.45,2024-08-31,nextech,nextech,2024-08-20,WeavePlus - Pro,WeavePlus - Pro,Retain,,15.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2024-08-01,118.0,217.0,148.0,20.0,34.0,26.0,142.0,True,True,True,1,1,1,1,1,1,plus bundle,10.0,Others,1,0,0,all,0,0.14795918367346939,0,0.3333333333333333,0.14795918367346939,0.05557624362244897,2093,2408
s00236939,236939.0,3312270f-e1fd-414a-bc30-20b2b6347776,Dental Arts of Broward,Single,Single,Dental,Dental,Other,False,False,single,2024-06-11,756.82,7710.09,2024-06-30,Eaglesoft 18,Eaglesoft 18,2024-08-07,WeavePlus - Elite,WeavePlus - Elite,Retain,,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,2024-06-01,1.0,0.0,1.0,1.0,0.0,0.0,0.0,True,True,True,0,0,0,0,0,0,plus bundle,0.0,EOD pms,0,0,0,all,0,0.3442622950819672,1,0.3333333333333333,0.3442622950819672,0.39590163934426226,244,259
s00456164,456164.0,305d791b-986c-4eeb-bca5-28280af64105,Boone Veterinary Hospital,Single,Single,Veterinary,Veterinary,Vet Hospital,False,False,single,2024-07-18,571.92,9245.8329,2024-07-31,ezyvet,ezyvet,2024-08-09,WeavePlus - Pro,WeavePlus - Pro,Retain,,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2024-07-01,1.0,3.0,1270.0,724.0,0.0,0.0,0.0,True,True,True,0,0,0,0,1,1,plus bundle,0.0,Others,0,0,0,all,0,0.16666666666666666,0,0.3333333333333333,0.16666666666666666,0.08374999999999999,1181,1533
s00558766,558766.0,33143696-a5c1-4c16-bcaa-9f7dda312fc7,Radiant Eyecare,Single,Single,Optometry,Optometry,Optometry,False,False,single,2024-06-21,356.82,6122.94,2024-06-30,Revolution,Revolution,2024-08-15,WeavePlus - Pro,WeavePlus - Pro,Retain,,17.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2024-06-01,6.0,1.0,101.0,63.0,0.0,0.0,0.0,True,True,True,0,0,0,0,1,1,plus bundle,2.0,Others,0,0,1,all,0,0.16666666666666666,0,0.3333333333333333,0.16666666666666666,0.08374999999999999,1182,1534
